Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Unemployment_rate,Inflation_rate,GDP,total_units_credited,total_units_enrolled,total_units_evaluations,total_units_approved,total_units_grade,total_units_without_evaluations,Status
Single,17,5,Engineering and Technology,1,Secondary Education,122.0,Europe,Secondary Education,Other,Service Workers,Manual Labor,127.3,1,0,0,1,Male,No,20,No,10.8,1.4,1.74,0,0,0,0,0.0,0,Dropout
Single,15,1,Health and Social Sciences,1,Secondary Education,160.0,Europe,Secondary Education,Higher Education,Technical and Administrative,Professional,142.5,1,0,0,0,Male,No,19,No,13.9,-0.3,0.79,0,12,12,12,13.833333333333332,0,Graduate
Single,1,5,Engineering and Technology,1,Secondary Education,122.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,124.8,1,0,0,0,Male,No,19,No,10.8,1.4,1.74,0,12,0,0,0.0,0,Dropout
Single,17,2,Other,1,Secondary Education,122.0,Europe,Basic Education,Basic Education,Service Workers,Professional,119.6,1,0,0,1,Female,No,20,No,9.4,-0.8,-3.12,0,12,18,11,12.914285714285715,0,Graduate
Married,39,1,Health and Social Sciences,0,Secondary Education,100.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,141.5,0,0,0,1,Female,No,45,No,13.9,-0.3,0.79,0,12,15,11,12.666666666666668,0,Graduate
Married,39,1,Business and Management,0,Basic Education,133.1,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,114.8,0,0,1,1,Male,No,50,No,16.2,0.3,-0.92,0,10,27,10,11.678571428571429,5,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,142.0,Europe,Secondary Education,Basic Education,Manual Labor,Service,128.4,1,0,0,1,Female,Yes,18,No,15.5,2.8,-4.06,0,15,17,15,13.822500000000002,0,Graduate
Single,18,4,Health and Social Sciences,1,Secondary Education,119.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,113.1,1,0,0,0,Male,No,22,No,15.5,2.8,-4.06,0,10,10,0,0.0,0,Dropout
Single,1,3,Health and Social Sciences,1,Secondary Education,137.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,129.3,0,0,0,1,Female,Yes,21,Yes,16.2,0.3,-0.92,0,12,15,12,14.008928571428571,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,138.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Manual Labor,123.0,1,0,1,0,Female,No,18,No,8.9,1.4,3.51,0,12,23,7,12.45,0,Dropout
Single,1,1,Other,1,Secondary Education,139.0,Europe,Basic Education,Secondary Education,Service Workers,Manual Labor,130.6,1,0,0,1,Female,No,18,No,13.9,-0.3,0.79,0,12,13,11,13.266666666666666,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,136.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,119.3,1,0,0,1,Female,Yes,18,No,12.7,3.7,-1.7,0,16,16,14,13.214285714285714,0,Graduate
Single,1,2,Other,1,Secondary Education,133.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Manual Labor,130.2,1,0,0,1,Female,No,19,No,12.7,3.7,-1.7,0,12,6,0,0.0,0,Dropout
Single,53,1,Health and Social Sciences,1,Higher Education,110.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Manual Labor,111.8,1,0,0,1,Female,Yes,21,No,8.9,1.4,3.51,0,12,15,11,10.785714285714285,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,149.0,Europe,Basic Education,Basic Education,Service Workers,Service,137.1,1,0,0,1,Female,Yes,18,No,10.8,1.4,1.74,0,10,12,9,12.625,0,Graduate
Single,1,1,Other,1,Secondary Education,127.0,Europe,Secondary Education,Basic Education,Manual Labor,Professional,120.7,1,0,0,1,Female,No,20,No,15.5,2.8,-4.06,0,12,13,5,6.6,0,Dropout
Single,18,1,Health and Social Sciences,1,Secondary Education,137.0,Europe,Secondary Education,Basic Education,Service Workers,Manual Labor,137.4,1,0,0,1,Female,No,18,No,10.8,1.4,1.74,0,12,24,3,11.5,0,Enrolled
Single,17,2,Health and Social Sciences,1,Secondary Education,135.0,Europe,Secondary Education,Secondary Education,Service Workers,Service,127.3,1,0,0,1,Female,No,18,No,15.5,2.8,-4.06,0,15,16,15,13.925625,0,Graduate
Single,1,1,Other,1,Secondary Education,137.0,Europe,Higher Education,Secondary Education,Technical and Administrative,Service,136.3,1,0,0,1,Female,No,20,No,10.8,1.4,1.74,0,10,16,8,12.375,3,Graduate
Single,1,1,Other,1,Secondary Education,140.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,124.6,1,0,0,1,Female,No,18,No,16.2,0.3,-0.92,0,14,15,12,12.583333333333332,0,Enrolled
Single,1,3,Engineering and Technology,1,Secondary Education,122.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,120.3,0,0,0,1,Female,Yes,21,No,11.1,0.6,2.02,0,0,0,0,0.0,0,Graduate
Single,18,4,Health and Social Sciences,1,Secondary Education,127.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Manual Labor,121.8,1,0,0,1,Female,No,20,No,12.7,3.7,-1.7,0,15,23,15,11.43125,0,Enrolled
Single,1,4,Health and Social Sciences,1,Secondary Education,142.0,Europe,Secondary Education,Secondary Education,Professional,Professional,125.5,1,0,0,1,Female,No,18,No,12.7,3.7,-1.7,0,16,24,14,12.857142857142858,0,Graduate
Single,1,4,Other,1,Secondary Education,125.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Manual Labor,114.9,1,0,0,1,Female,Yes,19,No,11.1,0.6,2.02,0,12,15,12,12.830357142857142,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,126.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Manual Labor,123.9,0,0,0,1,Female,No,19,No,11.1,0.6,2.02,0,15,17,13,13.70547619047619,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,151.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,157.0,1,0,1,1,Female,Yes,18,No,7.6,2.6,0.32,0,12,20,9,11.3,0,Enrolled
Single,17,2,Health and Social Sciences,1,Secondary Education,115.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,116.4,1,0,0,1,Female,No,21,No,16.2,0.3,-0.92,0,12,18,12,12.330357142857142,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,138.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Professional,131.0,1,0,0,1,Female,No,18,No,9.4,-0.8,-3.12,0,10,16,9,12.833333333333332,2,Enrolled
Single,1,1,Business and Management,1,Secondary Education,135.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,122.1,1,0,0,1,Female,No,20,No,16.2,0.3,-0.92,0,10,12,10,12.166666666666668,0,Graduate
Single,17,2,Health and Social Sciences,1,Secondary Education,127.0,Europe,Higher Education,Higher Education,Professional,Service,118.8,1,0,0,1,Male,No,19,No,16.2,0.3,-0.92,0,14,16,12,13.325,0,Enrolled
Single,44,1,Other,1,Other,150.0,Europe,Higher Education,Higher Education,Technical and Administrative,Professional,150.0,0,0,0,1,Male,No,21,No,16.2,0.3,-0.92,0,12,32,10,11.214285714285715,0,Enrolled
Single,51,1,Engineering and Technology,1,Secondary Education,125.0,Europe,Higher Education,Higher Education,Professional,Professional,130.0,1,0,0,1,Male,No,20,No,8.9,1.4,3.51,2,12,16,10,13.116666666666667,0,Graduate
Single,1,1,Business and Management,1,Secondary Education,143.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Manual Labor,138.8,0,0,0,0,Male,No,18,No,8.9,1.4,3.51,0,10,17,5,12.416666666666668,0,Enrolled
Single,18,1,Health and Social Sciences,0,Secondary Education,138.0,Europe,Secondary Education,Secondary Education,Manual Labor,Service,134.5,1,0,0,1,Female,No,19,No,12.4,0.5,1.79,0,12,14,12,13.520833333333332,0,Graduate
Single,1,1,Business and Management,0,Secondary Education,130.0,Europe,Higher Education,Basic Education,Technical and Administrative,Manual Labor,131.4,0,0,0,1,Male,No,34,No,13.9,-0.3,0.79,0,10,15,10,12.914285714285715,0,Graduate
Single,39,1,Engineering and Technology,1,Secondary Education,130.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,102.5,0,0,1,0,Male,No,37,No,8.9,1.4,3.51,0,14,14,1,5.0,0,Dropout
Single,39,1,Engineering and Technology,1,Incomplete Education,133.1,Europe,Other,Basic Education,Student,Student,128.8,1,0,0,1,Male,No,43,No,7.6,2.6,0.32,0,10,0,0,0.0,0,Dropout
Single,43,1,Business and Management,1,Secondary Education,140.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,122.9,0,0,0,1,Female,No,55,No,16.2,0.3,-0.92,0,10,18,3,11.0,2,Dropout
Divorced,39,1,Business and Management,0,Secondary Education,120.0,Europe,Secondary Education,Secondary Education,Manual Labor,Professional,113.9,1,0,0,1,Female,No,39,No,7.6,2.6,0.32,0,10,13,10,11.3,0,Graduate
Single,44,1,Other,1,Other,120.0,Europe,Higher Education,Higher Education,Technical and Administrative,Manual Labor,120.0,0,0,1,0,Female,No,20,Yes,12.4,0.5,1.79,3,12,24,6,11.833333333333332,0,Dropout
